Partner.Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bhutan,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1944782821,2059258653,2212638830,2511852941
Botswana,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267133178,12786654366,15682926896,14686278707,14915780539,16250774267,14420551446,15648700274,17406530781
Central African Republic,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,1981732634,1986015906,2195599557,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659
Canada,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12,1.65304E+12
Central Europe and the Baltics,2.42845E+11,2.6007E+11,2.74193E+11,3.11016E+11,3.86484E+11,4.12962E+11,4.09178E+11,4.47675E+11,4.34159E+11,4.27831E+11,4.68375E+11,5.27432E+11,6.34788E+11,7.62873E+11,8.8629E+11,1.00244E+12,1.26588E+12,1.52958E+12,1.28622E+12,1.3127E+12,1.44607E+12,1.35151E+12,1.42265E+12,1.4639E+12,1.28622E+12,1.31307E+12,1.45075E+12
Switzerland,2.61114E+11,2.71814E+11,2.64353E+11,2.92647E+11,3.42617E+11,3.30092E+11,2.86519E+11,2.95045E+11,2.89912E+11,2.72055E+11,2.78631E+11,3.01417E+11,3.52915E+11,3.94164E+11,4.08689E+11,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79289E+11,6.68745E+11,6.78887E+11
Channel Islands,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,
Chile,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.22965E+11,1.54788E+11,1.73606E+11,1.79638E+11,1.72389E+11,2.18538E+11,2.52252E+11,2.67122E+11,2.78384E+11,2.60584E+11,2.43999E+11,2.50036E+11,2.77076E+11
China,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.1191E+13,1.22377E+13
Cote d'Ivoire,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,33145096414,36374849865,40388624117
Cameroon,12434370005,11396310990,15498179313,10600157684,9643953175,10513387442,10833497458,10612847429,11198378749,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32217537943,34798596482
"Congo, Dem. Rep.",9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565722425,25839749199,29306223081,32671683662,35917650630,37917704900,34991160100,37241300949
"Congo, Rep.",2724853593,2933222714,1918970032,1769365425,2116003978,2540697688,2322718991,1949481297,2353909564,3219910550,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,7833508879,8722553001
Colombia,41239551378,49279585355,55802538219,81703500846,92507279383,97160109278,1.0666E+11,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80192E+11,3.78196E+11,2.9152E+11,2.80091E+11,3.09191E+11
Comoros,246823428.9,266191040.4,263568114.4,185761822.6,231896229.6,230495751.4,212099634.7,215394066.1,222580453.8,203846427.7,220093812.2,246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.9,647720707.1,565689764.6,616654490.4,648920942.7
Cabo Verde,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979069.3,490608657.9,521910560.5,592416703.1,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1864824081,1751888562,1850951315,1858121723,1596154666,1638927336,1753736712
Costa Rica,7168999428,8528593084,9537297507,10432619390,11513472694,11618286553,12552071367,13617405420,14195623425,14949514585,15913363335,16504795453,17195867540,18529767934,19952156475,22600431878,26743874206,30612932876,30562361123,37268635287,42262697840,46473128286,49745088112,50577769838,54775972989,56988989897,57057372468
Caribbean small states,17668489749,17396950399,18799958621,19800879061,21894409923,23905346739,28028091570,29774471520,31742034843,34061559105,35068207714,36872616587,39421593800,43139861259,48786092030,54618160956,60670805980,68875542818,58049437076,63131259584,68378335170,70576655404,71378769877,72525038828,70918077437,67787681466,69331419651
Cuba,24316556026,22085858243,22367254865,28448326757,30429803651,25017300000,25366200000,25736331247,28364615242,30565400000,31682400000,33590500000,35901200000,38203000000,42643836075,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,1012444074,,,,,,,,,,3207032513,,,,,,,,,,,
Cyprus,5770197348,6912150456,6590291048,7425703929,9826778784,9899623588,9594298746,10353506787,10614455232,10183317625,10567304189,11618269231,14576896942,17422375000,18703146375,20403713461,24077470572,27839460964,25942622951,25562251656,27427161523,25041372222,24084572491,23359294149,19676167240,20153871681,21651791751
Czech Republic,29675502270,34590052812,40614350197,47554674591,59775697061,66985765439,61792161168,66490372105,64867483193,61649492817,67523642262,81910771994,99627140274,1.19162E+11,1.36281E+11,1.55464E+11,1.89227E+11,2.35719E+11,2.0618E+11,2.07478E+11,2.27948E+11,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.95305E+11,2.15726E+11
Germany,1.86187E+12,2.12313E+12,2.06856E+12,2.20597E+12,2.59162E+12,2.50367E+12,2.21869E+12,2.24323E+12,2.19996E+12,1.94995E+12,1.95065E+12,2.07914E+12,2.50573E+12,2.81925E+12,2.86141E+12,3.00245E+12,3.43995E+12,3.75237E+12,3.41801E+12,3.41709E+12,3.7577E+12,3.54398E+12,3.75251E+12,3.89061E+12,3.37561E+12,3.4778E+12,3.67744E+12
Djibouti,462421998.5,478058304.9,466048469.2,491689220.7,497723960.6,494004647.7,502675542,514267869.3,536080148.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,1324733712,1455035089,1633741923,1764268469,1844674435
Dominica,180437037,191759259.3,200418518.5,215459259.3,224037037,236444444.4,245781481.5,258440740.7,267740740.7,335845814.8,343119370.4,337695740.7,350091222.2,374771481.5,370370370.4,390370370.4,421375851.9,458190185.2,489074333.3,493824407.4,501025296.3,485998000,501979259.3,523666333.3,535095851.9,581484037,562540740.7
Denmark,1.39225E+11,1.52916E+11,1.43196E+11,1.56162E+11,1.85007E+11,1.87632E+11,1.73538E+11,1.76992E+11,1.77965E+11,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.01298E+11,3.069E+11,3.24872E+11
Dominican Republic,9734321854,11356271336,13081042400,14664237667,16598679279,18241691857,20017908829,21672526563,22137599986,24305116729,25599311449,27362875603,21642882856,22692574473,36119047252,38116351526,44169678153,48288967303,48376555306,53982886258,57811180659,60657780261,62661773592,66065015410,68802092021,72342967648,75931656815
Algeria,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48640574567,54790245601,54744714396,56760288974,67863829880,85324998814,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00019E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65874E+11,1.59049E+11,1.70371E+11
East Asia & Pacific (excluding high income),7.19536E+11,8.06316E+11,8.85207E+11,1.06484E+12,1.31428E+12,1.50959E+12,1.56363E+12,1.43312E+12,1.57644E+12,1.73518E+12,1.84614E+12,2.04327E+12,2.31273E+12,2.68211E+12,3.10707E+12,3.74227E+12,4.73274E+12,5.99157E+12,6.49898E+12,7.88245E+12,9.63587E+12,1.07497E+13,1.18647E+13,1.27575E+13,1.32711E+13,1.35093E+13,1.47423E+13
